ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total Combatientes	Total Civiles	Total de Víctimas del Caso	Tipo de Armas	Latitud	Longitud
185277	CR018904	1978	06	18	19001	POPAYAN	CAUCA	MACIZO COLOMBIANO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	OTRO ¿CUÁL?	NO APLICA	0	0	0	0	0	0	1	0	0		5-CAPTURADOS	1	0	1	ARTEFACTO EXPLOSIVO	2.482503391	-76.57406468
185278	CR005130	1978	08	16	23555	PLANETA RICA	CORDOBA	ALTO SINU Y SAN JORGE	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	50	0	0			0	1	1	ARTEFACTO EXPLOSIVO	8.408202562	-75.58324299
185279		1979	05	01	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	0	0	0			0	0	0	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185280		1979	06	01	76001	CALI	VALLE DEL CAUCA	SUR DEL VALLE	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	EPL	0	0	0	0	0	0	0	0	0			0	0	0	ARTEFACTO EXPLOSIVO	3.414414305	-76.52156515
185281	CR005142	1981	07	31	76041	ANSERMANUEVO	VALLE DEL CAUCA	NORTE DEL VALLE	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	14	0	0			0	4	4	ARTEFACTO EXPLOSIVO	4.794922714	-75.99198067
185282		1981	10	07	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	1	0	0			0	1	1	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185283		1984	04	22	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	9	0	0			0	0	0	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185284	CR005138	1985	05	01	66170	DOSQUEBRADAS	RISARALDA	EJE CAFETERO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	OTRA DISIDENCIA	0	0	0	0	0	0	10	0	0			0	4	4	ARTEFACTO EXPLOSIVO	4.827187832	-75.68246912
185285		1985	05	23	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	0	0	0			0	0	0	ARTEFACTO EXPLOSIVO	6.246715564	-75.58171333
185286	CR004962	1985	09	25	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	8	0	0			0	0	0	ARTEFACTO EXPLOSIVO	6.246715564	-75.58171333
185287	CR005117	1987	01	13	08001	BARRANQUILLA	ATLANTICO	NORTE DE ATLANTICO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	COORDINADORA NACIONAL GUERRILLERA	0	0	0	0	0	0	25	1	0			2	11	13	ARTEFACTO EXPLOSIVO	10.97592682	-74.79525905
185288	CR005147	1987	09	23	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	8	0	0			0	1	1	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185289		1989	10	16	68001	BUCARAMANGA	SANTANDER	PROVINCIA DE SOTO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	CRIMEN ORGANIZADO	CARTEL DE MEDELLÍN	0	0	0	0	0	0	7	0	0			0	3	3	ARTEFACTO EXPLOSIVO	7.116267276	-73.13259818
185290	CR005171	1989	12	06	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	OTRO ¿CUÁL?	NO APLICA	0	0	0	0	0	0	600	0	0			0	63	63	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185291		1990	06	28	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	1	0	0			0	14	14	ARTEFACTO EXPLOSIVO	6.246715564	-75.58171333
185292	CR005163	1992	03	27	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	0	0	0			0	1	1	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185293	CR020249	1992	04	01	76001	CALI	VALLE DEL CAUCA	SUR DEL VALLE	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	6	0	0			3	0	3	ARTEFACTO EXPLOSIVO	3.414414305	-76.52156515
185294	CR048156	1992	09	01	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	8	0	0			0	9	9	ARTEFACTO EXPLOSIVO	6.246715564	-75.58171333
185295	CR005158	1992	12	11	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	9	0	0			0	0	0	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185296		1993	02	10	68081	BARRANCABERMEJA	SANTANDER	MAGDALENA MEDIO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	16	16	ARTEFACTO EXPLOSIVO	7.064963864	-73.84995698
185297		1995	06	10	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	99	0	0			0	23	23	ARTEFACTO EXPLOSIVO	6.246715564	-75.58171333
185299	CR018229	1995	07	09	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	4	0	0			0	0	0	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185300	CR005095	1995	10	17	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	12	0	0			0	2	2	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185301	CR005112	1996	10	04	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	4	0	0			0	1	1	ARTEFACTO EXPLOSIVO	6.246715564	-75.58171333
185302	CR023021	1996	10	21	23001	MONTERIA	CORDOBA	ALTO SINU Y SAN JORGE	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	11	0	0		7-POLICÍAS HERIDOS	0	0	0	ARTEFACTO EXPLOSIVO	8.745132591	-75.87557791
185303	CR005116	1996	12	16	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	48	0	0			0	1	1	ARTEFACTO EXPLOSIVO	6.246715564	-75.58171333
185304	CR005103	1996	12	17	23001	MONTERIA	CORDOBA	ALTO SINU Y SAN JORGE	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	36	0	0			0	4	4	ARTEFACTO EXPLOSIVO	8.745132591	-75.87557791
185305	CR023019	1997	03	10	23001	MONTERIA	CORDOBA	ALTO SINU Y SAN JORGE	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	22	0	0			0	0	0	ARTEFACTO EXPLOSIVO	8.745132591	-75.87557791
185306	CR005135	1997	03	17	54001	CUCUTA	NORTE DE SANTANDER	AREA METROPOLITANA DE CUCUTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	4	0	0			0	1	1	ARTEFACTO EXPLOSIVO	7.905306295	-72.5082562
185307	CR005105	1997	06	24	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	11	0	0			0	0	0	ARTEFACTO EXPLOSIVO	6.246715564	-75.58171333
185308	CR036067	1997	07	27	05040	ANORI	ANTIOQUIA	NORDESTE ANTIOQUEÑO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	20	20	ARTEFACTO EXPLOSIVO	7.074707669	-75.14834842
185309	CR005177	1998	02	06	25878	VIOTA	CUNDINAMARCA	SUROCCIDENTE DE CUNDINAMARCA	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	8	0	0			0	1	1	ARTEFACTO EXPLOSIVO	4.439355814	-74.52316032
185310		1998	02	06	25878	VIOTA	CUNDINAMARCA	SUROCCIDENTE DE CUNDINAMARCA	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	10	0	0			0	1	1	ARTEFACTO EXPLOSIVO	4.439355814	-74.52316032
185311	CR018872	1998	02	12	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	5	0	0			0	4	4	ARTEFACTO EXPLOSIVO	6.246715564	-75.58171333
185312	CR018236	1998	04	29	44001	RIOHACHA	LA GUAJIRA	SIERRA NEVADA DE SANTA MARTA	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	6	0	0			0	1	1	ARTEFACTO EXPLOSIVO	11.52875138	-72.91148891
185313		1998	09	18	70713	SAN ONOFRE	SUCRE	MONTES DE MARIA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	0	0	0	0	0	0	0	0			0	4	4	ARTEFACTO EXPLOSIVO	9.736932014	-75.5230307
185314	CR005123	1999	02	21	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	9	0	0			0	0	0	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185315	CR023015	1999	07	30	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	28	0	0			2	7	9	ARTEFACTO EXPLOSIVO	6.246715564	-75.58171333
185316	CR005111	1999	08	27	23001	MONTERIA	CORDOBA	ALTO SINU Y SAN JORGE	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	11	0	0			0	0	0	ARTEFACTO EXPLOSIVO	8.745132591	-75.87557791
185317	CR005160	1999	12	06	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	1	0	0			0	0	0	ARTEFACTO EXPLOSIVO	6.246715564	-75.58171333
185318	CR046007	1999	12	17	86865	VALLE DEL GUAMUEZ	PUTUMAYO	BAJO PUTUMAYO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	24	0	0			0	6	6	ARTEFACTO EXPLOSIVO	0.423904093	-76.9059688
185319	CR005131	1999	12	24	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	OTRO ¿CUÁL?	NO APLICA	0	0	0	0	0	0	2	0	0			0	0	0	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185320	CR018871	2000	01	18	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	8	0	0			0	1	1	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185321	CR005022	2000	03	26	25307	GIRARDOT	CUNDINAMARCA	SUROCCIDENTE DE CUNDINAMARCA	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	23	0	0			1	0	1	ARTEFACTO EXPLOSIVO	4.313078337	-74.79779459
185322	CR005023	2000	03	30	25123	CACHIPAY	CUNDINAMARCA	ALTIPLANO CUNDIBOYACENSE	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	13	0	0			0	3	3	ARTEFACTO EXPLOSIVO	4.730954629	-74.4357071
185323	CR018971	2000	03	31	25123	CACHIPAY	CUNDINAMARCA	ALTIPLANO CUNDIBOYACENSE	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	1	0	0	0	1	19	0	0		CAPTURA DE GUERRILLERO	0	3	3	ARTEFACTO EXPLOSIVO	4.730954629	-74.4357071
185324	CR005148	2000	10	02	68081	BARRANCABERMEJA	SANTANDER	MAGDALENA MEDIO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	9	0	0			0	2	2	ARTEFACTO EXPLOSIVO	7.064963864	-73.84995698
185325		2000	11	05	76001	CALI	VALLE DEL CAUCA	SUR DEL VALLE	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	6	0	0			0	1	1	ARTEFACTO EXPLOSIVO	3.414414305	-76.52156515
185326	CR005156	2000	11	18	86568	PUERTO ASIS	PUTUMAYO	BAJO PUTUMAYO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	12	0	0			0	1	2	ARTEFACTO EXPLOSIVO	0.505046722	-76.49727285
185328	CR005161	2000	12	06	05313	GRANADA	ANTIOQUIA	ORIENTE ANTIOQUEÑO	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	1	0	0	0	0	25	0	0			0	22	28	ARTEFACTO EXPLOSIVO	6.142896667	-75.18444508
185329	CR005146	2001	08	09	05652	SAN FRANCISCO	ANTIOQUIA	ORIENTE ANTIOQUEÑO	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	36	0	0			0	3	3	ARTEFACTO EXPLOSIVO	5.964079131	-75.10268697
185330	CR005145	2001	08	23	05440	MARINILLA	ANTIOQUIA	ORIENTE ANTIOQUEÑO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	26	0	0			0	1	1	ARTEFACTO EXPLOSIVO	6.172269255	-75.33947788
185331	CR041132	2001	10	07	05667	SAN RAFAEL	ANTIOQUIA	ORIENTE ANTIOQUEÑO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	8	0	0			0	3	3	ARTEFACTO EXPLOSIVO	6.293754876	-75.02798382
185332	CR005149	2001	10	21	05541	PENOL	ANTIOQUIA	ORIENTE ANTIOQUEÑO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	ELN	0	0	0	0	0	0	1	0	0			1	5	6	ARTEFACTO EXPLOSIVO	6.219450549	-75.24282171
185333	CR005179	2002	01	25	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	28	0	0			4	2	6	ARTEFACTO EXPLOSIVO	4.65017303	-74.107359
185335	CR005180	2002	03	11	50577	PUERTO LLERAS	META	ARIARI GUAYABERO	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	8	0	0			3	3	6	ARTEFACTO EXPLOSIVO	3.269732439	-73.37374343
185336	CR046671	2002	03	28	95015	CALAMAR	GUAVIARE	ARIARI GUAYABERO	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			0	4	4	ARTEFACTO EXPLOSIVO	1.960108633	-72.655172
185337	CR018154	2002	03	30	99001	PUERTO CARRENO	VICHADA	ALTILLANURA	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	21	0	0			6	0	6	ARTEFACTO EXPLOSIVO	6.186864187	-67.486997
185338	CR005137	2002	04	05	50287	FUENTEDEORO	META	ARIARI GUAYABERO	DESCONOCIDA	GUERRILLA	FARC	0	0	0	0	0	0	0	0	0			0	0	0	ARTEFACTO EXPLOSIVO	3.462868031	-73.61798161
185339	CR005114	2002	04	07	50001	VILLAVICENCIO	META	PIEDEMONTE LLANERO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	70	0	0			0	10	10	ARTEFACTO EXPLOSIVO	4.1238615	-73.62709204
185340		2002	04	14	08001	BARRANQUILLA	ATLANTICO	NORTE DE ATLANTICO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	13	0	0			0	4	4	ARTEFACTO EXPLOSIVO	10.97592682	-74.79525905
185341		2002	04	15	76364	JAMUNDI	VALLE DEL CAUCA	SUR DEL VALLE	DESCONOCIDA	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	2	0	0			0	3	3	ARTEFACTO EXPLOSIVO	3.26227576	-76.54245873
185342	CR005099	2002	05	20	05390	LA PINTADA	ANTIOQUIA	SUROESTE ANTIOQUEÑO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	11	0	0			0	1	1	ARTEFACTO EXPLOSIVO	5.743807479	-75.60781026
185343	CR005133	2002	05	20	05390	LA PINTADA	ANTIOQUIA	SUROESTE ANTIOQUEÑO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	11	0	0			0	1	1	ARTEFACTO EXPLOSIVO	5.743807479	-75.60781026
185344	CR005140	2002	06	02	05172	CHIGORODO	ANTIOQUIA	URABA	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	24	0	0			1	8	9	ARTEFACTO EXPLOSIVO	7.666300439	-76.6812164
185345	CR005102	2002	07	09	19455	MIRANDA	CAUCA	NORTE DEL CAUCA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	6	0	0			0	1	1	ARTEFACTO EXPLOSIVO	3.253095405	-76.22886987
185346	CR005094	2002	07	20	05315	GUADALUPE	ANTIOQUIA	NORTE DE ANTIOQUIA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	10	0	0			0	0	0	ARTEFACTO EXPLOSIVO	6.814263455	-75.24001859
185347	CR005143	2002	07	24	25662	SAN JUAN DE RIOSECO	CUNDINAMARCA	ALTIPLANO CUNDIBOYACENSE	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	5	0	0			3	0	3	ARTEFACTO EXPLOSIVO	4.847575999	-74.62191472
185348	CR005174	2002	07	28	18753	SAN VICENTE DEL CAGUAN	CAQUETA	CAGUAN	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	1	0	0	0	3	0	0			0	0	0	ARTEFACTO EXPLOSIVO	2.119786131	-74.76734058
185349	CR007134	2002	08	10	81794	TAME	ARAUCA	SARARE	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	6	0	0			0	0	0	ARTEFACTO EXPLOSIVO	6.449379486	-71.75861086
185350		2002	09	06	66170	DOSQUEBRADAS	RISARALDA	EJE CAFETERO	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	16	0	0			1	1	2	ARTEFACTO EXPLOSIVO	4.827187832	-75.68246912
185351	CR018420	2002	09	13	81736	SARAVENA	ARAUCA	SARARE	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	23	0	0			0	4	4	ARTEFACTO EXPLOSIVO	6.95385957	-71.87233343
185352		2002	09	16	81065	ARAUQUITA	ARAUCA	SARARE	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	6	0	0			0	1	1	ARTEFACTO EXPLOSIVO	7.026981415	-71.42675118
185353	CR005097	2002	10	07	13244	EL CARMEN DE BOLIVAR	BOLIVAR	MONTES DE MARIA	ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	5	0	0			0	0	0	ARTEFACTO EXPLOSIVO	9.718579865	-75.12121573
185354	CR005178	2002	10	11	25312	GRANADA	CUNDINAMARCA	SUMAPAZ	ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO	GUERRILLA	FARC	0	0	0	0	0	0	10	0	0			0	0	0	ARTEFACTO EXPLOSIVO	4.519763473	-74.35076611
